userId,imdbIds
14,"[88323, 96928, 120601, 101889, 99317, 265459, 102057, 89791, 71230, 88172, 209958, 93748, 80487, 95705, 81633, 91203, 99487, 93409, 84726, 90728]"
15,"[113443, 114272, 113158, 106966, 104779, 111712, 107983, 120317, 119324, 119196, 82736, 36342, 61385, 34240, 66892, 93713, 441909, 316356, 89941, 48641]"
16,"[116483, 94747, 109890, 181739, 139809, 120891, 80569, 104427, 102216, 98987, 80813, 72737, 99204, 117571, 119792, 95294, 101587, 112281, 109707, 215129]"
17,"[67959, 361748, 77663, 448134, 1139797, 1483797, 780536, 111127, 108515, 390384, 53459, 109066, 498380, 63350, 267891, 116242, 50825, 102014, 64116, 102494]"
18,"[114478, 119174, 110057, 109348, 114369, 110413, 103994, 108399, 112641, 114814, 112818, 117951, 112722, 114117, 112431, 114148, 115697, 112579, 75314, 88323]"
19,"[87265, 413895, 112651, 50798, 52027, 402399, 120772, 65063, 120783, 120684, 97366, 59260, 119256, 97123, 42276, 74235, 78718, 53946, 69293, 74486]"
20,"[118880, 114388, 110428, 117331, 75005, 119164, 112318, 138704, 83791, 120449, 49189, 206420, 59245, 31225, 79588, 119567, 112572, 115571, 22111, 111001]"
21,"[21884, 116361, 52027, 96257, 115751, 26752, 17136, 90357, 364569, 65724, 387131, 52561, 59017, 180093, 310793, 87265, 83987, 316654, 70290, 120255]"
22,"[110950, 140379, 97162, 94625, 117333, 120885, 964517, 79833, 31448, 110099, 113552, 780536, 98437, 357413, 70860, 240425, 53125, 48752, 119081, 76740]"
23,"[115632, 119324, 82736, 77711, 91538, 1605783, 96257, 118789, 441909, 112722, 112541, 114496, 112679, 113501, 115906, 117091, 119081, 119978, 120777, 84649]"
24,"[71853, 112641, 75314, 167404, 105236, 83866, 73486, 99685, 81505, 378194, 119488, 68646, 169547, 137523, 80684, 120815, 119217, 167261, 82971, 133093]"
25,"[98213, 90756, 114660, 70016, 113117, 104952, 29583, 96438, 66026, 43274, 59742, 104036, 82340, 72431, 97493, 64115, 70723, 32138, 93779, 116778]"
26,"[411477, 318627, 390384, 1706620, 119229, 1132620, 486822, 245712, 413099, 1877832, 1663662, 277371, 1217209, 486655, 1302011, 1323594, 948470, 1386932, 397892, 301357]"
27,"[5248968, 118661, 290334, 110857, 266543, 98105, 130445, 325980, 180443, 161100, 317705, 198781, 211915, 167260, 145487, 97576, 2313197, 305711, 217869, 88763]"
28,"[107048, 45793, 48356, 61811, 112346, 61184, 91790, 90848, 209144, 92699, 234215, 103994, 232500, 110638, 203119, 110932, 85244, 106966, 120324, 109831]"
29,"[114709, 110912, 102926, 137523, 95016, 83866, 107048, 120591, 113277, 114746, 114369, 112573, 209144, 363547, 76759, 120586, 110413, 892769, 111149, 109830]"
30,"[96257, 116324, 113690, 107554, 115951, 32022, 64116, 35279, 126250, 125659, 65571, 66473, 49730, 43338, 92965, 368891, 247380, 382625, 248845, 256380]"
31,"[800369, 1853728, 1631867, 1408101, 1022603, 2015381, 1226229, 800080, 1318514, 458525, 166924, 1877832, 1205489, 1270798, 1232829, 1392170, 1731141, 1300854, 1228705, 1055369]"
32,"[126029, 83658, 120915, 240772, 120363, 90605, 78748, 97576, 103776, 96487, 119116, 172495, 93409, 107048, 88763, 88247, 163651, 100802, 119654, 86190]"
33,"[165798, 469494, 366548, 116324, 1798709, 108515, 117318, 50825, 96257, 89881, 82269, 361693, 118798, 67116, 87995, 100142, 83798, 91538, 82089, 97123]"
34,"[50658, 102014, 59113, 84783, 189744, 52561, 77504, 114808, 113674, 107554, 70506, 109381, 108227, 35896, 56923, 31725, 51658, 29162, 34012, 33891]"
35,"[114287, 120812, 120660, 108394, 114924, 120784, 132477, 122933, 116329, 117887, 105112, 118929, 120873, 120780, 102803, 127536, 139414, 68473, 58150, 140352]"
36,"[374900, 114214, 95468, 34583, 33870, 44706, 97493, 119229, 119174, 118842, 119396, 120669, 128445, 138097, 151804, 120735, 106856, 94012, 120655, 105793]"
37,"[112384, 109040, 88011, 106977, 32904, 48028, 38650, 59742, 101889, 61418, 61722, 64115, 74958, 113497, 113189, 114168, 112431, 46183, 112697, 114369]"
38,"[272338, 1179891, 1472122, 1226273, 1235124, 116922, 427312, 50783, 69089, 165773, 951335, 234853, 91474, 219965, 1220213, 465436, 365929, 498399, 369436, 426931]"
39,"[110877, 116483, 120654, 114702, 110428, 120684, 127536, 364725, 109348, 72271, 107302, 107653, 108101, 108122, 108149, 114906, 82509, 142342, 184791, 120891]"
40,"[418279, 448134, 79588, 1528071, 88161, 496806, 88128, 1091722, 1219289, 263438, 1618442, 765429, 162346, 325805, 85959, 1617661, 337978, 1706620, 3007512, 105793]"
41,"[94155, 57590, 67309, 995832, 195945, 86005, 55353, 374463, 177507, 1185616, 412888, 441762, 52357, 22111, 53114, 413895, 108071, 385004, 56058, 120185]"
42,"[75314, 73629, 429493, 277434, 95159, 79470, 78788, 99685, 32455, 98635, 80455, 73195, 97351, 81505, 94226, 116282, 92005, 91042, 73486, 95953]"
43,"[211915, 114814, 75314, 34583, 117589, 73486, 78788, 54215, 71562, 93058, 119008, 119174, 21884, 190332, 112818, 99685, 116209, 127536, 120338, 47396]"
44,"[114148, 110527, 111112, 113189, 112896, 112722, 112431, 112462, 112864, 113749, 112508, 266543, 110322, 110632, 120623, 109444, 109506, 111503, 325980, 109254]"
45,"[75314, 83658, 62622, 101605, 73486, 56172, 54215, 75686, 71315, 56218, 36613, 47396, 57012, 47478, 66026, 33467, 34583, 33870, 120663, 120812]"
46,"[5248968, 209144, 298148, 317740, 87469, 443543, 180443, 133093, 361748, 145660, 110169, 796366, 198781, 91799, 91042, 94012, 372784, 95016, 1014759, 120689]"
47,"[107048, 325980, 93779, 90605, 78748, 88247, 145487, 266543, 88763, 317705, 97576, 198781, 103776, 240772, 264464, 120591, 93409, 372183, 167260, 172495]"
48,"[384369, 93744, 388395, 119527, 222851, 82362, 304126, 86194, 15400, 1441326, 1242460, 53604, 50212, 90329, 120176, 86425, 102250, 89017, 165859, 74958]"
49,"[298148, 87265, 74958, 106226, 316654, 108065, 111201, 317705, 119214, 113596, 32904, 26029, 117791, 116404, 44706, 38355, 78841, 116601, 77631, 120034]"
50,"[83658, 90605, 78748, 97576, 91203, 120591, 119116, 82971, 120815, 80684, 86190, 76759, 88247, 100802, 119654, 88763, 88161, 112679, 110367, 110167]"
51,"[90848, 120762, 97523, 84827, 60424, 59245, 100140, 97179, 104952, 120660, 133751, 151738, 78346, 117788, 99052, 137363, 100802, 160916, 70328, 145681]"
52,"[356910, 319262, 308644, 71853, 19421, 88846, 66921, 93058, 88794, 382932, 40416, 47478, 87469, 66765, 1049413, 910936, 1022603, 266915, 458352, 246578]"
53,"[114814, 68646, 33467, 38650, 99685, 93822, 120687, 75314, 120768, 92804, 209144, 120577, 290334, 76759, 325980, 133093, 108052, 57012, 120737, 268978]"
54,"[418279, 114319, 5248968, 53285, 496806, 91790, 183649, 243155, 1197624, 309698, 1219289, 1449283, 110771, 382625, 1189340, 43278, 43255, 106673, 765429, 443543]"
55,"[112281, 113749, 112508, 151804, 142342, 163651, 105793, 118708, 80487, 120888, 120873, 170016, 93409, 116683, 106977, 96895, 119567, 106697, 119116, 117571]"
56,"[67411, 2488496, 45537, 76538, 100332, 63385, 90203, 1151359, 81353, 46183, 70016, 2096672, 89017, 1599348, 129290, 141098, 81573, 52225, 34862, 101393]"
57,"[110428, 108333, 108515, 61418, 75686, 100150, 52311, 78841, 83833, 114117, 112682, 114279, 112585, 109508, 113464, 111797, 109771, 364725, 109348, 110588]"
58,"[45793, 61811, 101969, 87265, 114388, 113161, 113862, 113117, 113097, 110005, 110099, 110367, 110932, 109446, 106673, 107206, 107818, 107943, 108065, 108160]"
59,"[307987, 115639, 117128, 138524, 298845, 317910, 340855, 116913, 65724, 312004, 278504, 119008, 119349, 379786, 258068, 119942, 290538, 117589, 405422, 1375666]"
60,"[286499, 443453, 118971, 112641, 97814, 114369, 216787, 79833, 40897, 113749, 114478, 120812, 906108, 110428, 110413, 110912, 111161, 69031, 433383, 325980]"
61,"[94625, 83798, 79833, 808506, 53114, 101522, 825236, 107507, 108399, 113568, 790799, 60584, 84370, 66808, 82846, 79522, 1345836, 56058, 57590, 64665]"
62,"[2294629, 892769, 1486834, 405455, 118178, 1024255, 1806911, 1174042, 1205489, 95953, 1865505, 289879, 97351, 97441, 94737, 88847, 96438, 120338, 99088, 120591]"
63,"[91790, 89017, 113228, 116253, 115571, 42332, 87843, 77416, 32455, 87553, 119008, 379786, 412019, 94947, 88128, 132477, 120855, 142342, 131325, 130121]"
64,"[71853, 73486, 167260, 108333, 105236, 83866, 119488, 75314, 185937, 80684, 99685, 112679, 81505, 113097, 378194, 120586, 258463, 87800, 107501, 68646]"
65,"[79367, 56801, 88161, 90583, 63462, 120586, 120735, 108122, 91419, 25164, 160916, 43014, 48728, 31725, 27125, 35446, 32599, 26029, 48380, 65988]"
66,"[70735, 93105, 80487, 79367, 112364, 995832, 98258, 89370, 79817, 106677, 97883, 87130, 73629, 238112, 412888, 71994, 82348, 441762, 86567, 86200]"
67,"[112585, 104036, 119488, 113987, 112637, 113158, 114367, 114660, 109508, 113464, 114478, 109579, 111797, 110005, 110116, 113501, 110367, 113670, 109045, 109348]"
68,"[86197, 94006, 99674, 91790, 149261, 91557, 160916, 1375666, 181852, 139654, 325710, 440963, 150377, 101540, 117666, 368447, 98382, 910970, 161023, 120188]"
69,"[93822, 114576, 115683, 115644, 116731, 118055, 1091722, 1193138, 49408, 1285016, 435761, 116322, 796366, 116213, 266987, 52357, 440963, 104036, 1205489, 71315]"
70,"[32138, 107048, 116704, 120623, 133093, 325980, 112641, 112722, 112431, 114279, 114369, 114148, 114814, 116839, 75314, 112342, 112462, 109508, 113071, 113986]"
71,"[75314, 110912, 111161, 57012, 34583, 95765, 56592, 100263, 98213, 112641, 90756, 112431, 114814, 30341, 113677, 98258, 126029, 105151, 76759, 120586]"
72,"[452623, 307901, 119396, 119488, 111149, 1800241, 108122, 117318, 87843, 81398, 77416, 56218, 87553, 82010, 101540, 87800, 117666, 1227926, 119008, 87995]"
73,"[326769, 861739, 2265171, 54692, 114852, 50658, 51658, 52126, 101765, 119381, 19729, 29146, 89853, 51207, 118736, 91991, 78754, 72742, 165773, 29606]"
74,"[85334, 53125, 53291, 140352, 44081, 61722, 74958, 112442, 110932, 128445, 120764, 108065, 116282, 125439, 120855, 144214, 163187, 266697, 164181, 117438]"
75,"[363771, 371746, 330373, 112442, 440963, 416449, 964517, 113690, 357413, 107302, 356910, 103850, 118615, 144214, 137363, 171363, 149261, 133046, 796366, 145531]"
76,"[113627, 112585, 110005, 109836, 110771, 107076, 107206, 108399, 103994, 98213, 93437, 88161, 102250, 91790, 96446, 94226, 92699, 96463, 98258, 90583]"
77,"[1182921, 780536, 370263, 110054, 489235, 45152, 54698, 53291, 26029, 63819, 57546, 66817, 61418, 48545, 44081, 82096, 48579, 49710, 71464, 100469]"
78,"[26138, 92603, 69947, 112714, 1190539, 46816, 332375, 109836, 110907, 115738, 1401143, 106471, 56732, 361862, 109688, 385004, 114474, 46414, 106611, 1166827]"
79,"[441773, 800080, 86879, 482571, 936501, 88128, 317919, 367882, 317219, 389790, 443543, 337978, 338348, 480249, 38650, 98635, 77631, 1037705, 830515, 90329]"
80,"[97757, 112431, 116367, 113749, 114478, 110005, 103994, 127536, 138097, 109831, 105226, 107151, 141098, 108122, 108149, 120855, 185937, 265666, 137523, 120601]"
81,"[17925, 319531, 28772, 25316, 56923, 47437, 84370, 42192, 32976, 32599, 29947, 66808, 89881, 88794, 117293, 64665, 65063, 82736, 91538, 37913]"
82,"[109445, 167260, 59742, 126886, 119488, 119174, 88128, 185937, 113749, 66921, 118715, 126029, 88247, 266697, 81505, 120888, 378194, 258463, 87800, 181689]"
83,"[117110, 109370, 110857, 107501, 97530, 368447, 117918, 35446, 45061, 77416, 120317, 82198, 120769, 61811, 97239, 120654, 100212, 116481, 97366, 95882]"
84,"[2024469, 948470, 129387, 980970, 2713180, 119643, 3472226, 2582802, 1659337, 99423, 1731141, 151804, 2310332, 1951265, 470752, 103772, 1790864, 97351, 105435, 105236]"
85,"[167260, 119567, 117381, 117705, 100802, 92099, 88247, 81505, 97576, 378194, 258463, 115433, 84726, 103776, 105435, 117571, 120053, 119094, 120347, 129387]"
86,"[115751, 113540, 106677, 113083, 116905, 26029, 115678, 267891, 70707, 103850, 56592, 67185, 52311, 75005, 117666, 116754, 119229, 120394, 115856, 119174]"
87,"[113161, 112637, 75314, 112585, 138097, 109831, 107207, 107822, 108071, 139239, 126886, 265666, 34583, 120601, 117589, 73692, 93058, 86879, 119229, 119488]"
88,"[110005, 449467, 947798, 108122, 469494, 245574, 1392190, 113755, 106660, 376541, 2245084, 116722, 1392170, 116477, 118111, 120192, 936501, 95882, 1228705, 204946]"
89,"[120586, 441773, 343818, 796366, 242653, 1853728, 356910, 440963, 1631867, 62512, 482571, 1408101, 19422, 425112, 458339, 1022603, 112364, 243155, 112864, 114781]"
90,"[146882, 114369, 88161, 75314, 94226, 98258, 104257, 91538, 138097, 109831, 88011, 120863, 130827, 94737, 85334, 86567, 265666, 47396, 34583, 120601]"
91,"[2395427, 79367, 94226, 138097, 85334, 105793, 77975, 478970, 75314, 2388725, 2713180, 116282, 34583, 32138, 68519, 470752, 67992, 95159, 73486, 1568921]"
92,"[167260, 59742, 129387, 209144, 112461, 113552, 111507, 106677, 151804, 139134, 107653, 108149, 285823, 57012, 240772, 265666, 120601, 26029, 94012, 117802]"
93,"[181288, 327597, 25164, 39420, 936501, 1091722, 53946, 208874, 203119, 1748122, 80846, 449467, 43067, 181852, 34928, 312528, 118172, 49833, 73012, 47296]"
94,"[453467, 411477, 478087, 3659388, 770828, 1217209, 486655, 1302011, 397892, 398286, 834001, 181984, 399146, 432348, 1748122, 221027, 252866, 2245084, 1515091, 1300854]"
95,"[106677, 468569, 218839, 86250, 146316, 112637, 75314, 381061, 112883, 110950, 107943, 108149, 366551, 57012, 52357, 47396, 53125, 53291, 34583, 31381]"
96,"[71853, 39689, 21884, 33804, 17925, 42276, 58888, 113819, 105226, 375679, 106226, 23563, 113083, 39420, 66921, 93058, 115495, 41587, 73195, 116754]"
97,"[310281, 1663202, 43278, 58385, 46250, 37059, 27125, 49261, 115678, 478087, 55614, 1189340, 49408, 58461, 48140, 146309, 212985, 337978, 497116, 758774]"
98,"[117628, 81375, 78748, 88794, 117731, 73195, 1321870, 120772, 45793, 120794, 3659388, 364569, 105323, 232500, 2948356, 1727388, 103596, 109015, 963743, 258463]"
99,"[112585, 109508, 110771, 106519, 343818, 107808, 107943, 241025, 51459, 104036, 84707, 103850, 97937, 77416, 91867, 119008, 102494, 97239, 90756, 82517]"
100,"[32138, 114369, 70016, 96438, 59742, 80455, 72431, 119174, 93779, 114814, 110912, 110413, 88846, 110932, 79470, 108598, 116282, 108399, 110148, 112431]"
101,"[892769, 349903, 1853728, 1205489, 829482, 1392170, 1010048, 446029, 1504320, 758758, 382932, 1345836, 449059, 467406, 816692, 361748, 947798, 383574, 945513, 1951264]"
102,"[101775, 79944, 337741, 22111, 417, 374900, 114805, 56732, 106881, 107096, 110955, 112817, 275491, 50105, 372784, 78875, 69198, 115433, 116250, 67959]"
103,"[114272, 112461, 114478, 109579, 113117, 110365, 110428, 110598, 108149, 114906, 115837, 43014, 64116, 86197, 116922, 412019, 425112, 73629, 49406, 40522]"
104,"[1213663, 903624, 1431045, 1690953, 119488, 1104123, 416496, 1343727, 1403865, 1401152, 458352, 1282140, 1748122, 2278388, 1411697, 2119474, 1152822, 337103, 339291, 1323594]"
105,"[382932, 301357, 390221, 29947, 379865, 120906, 995832, 120533, 79817, 379225, 374463, 177507, 1185616, 246765, 424345, 923752, 1019452, 1440728, 433383, 799934]"
106,"[441773, 118798, 112346, 139134, 97458, 118892, 97530, 108065, 1278469, 981227, 913445, 1613750, 1853728, 816692, 3659388, 396555, 1860355, 73486, 104694, 86879]"
107,"[112431, 112573, 112384, 138097, 110475, 107290, 107818, 103639, 103064, 99348, 116282, 34583, 73486, 86190, 119488, 114814, 109830, 110912, 71562, 102926]"
108,"[97757, 105236, 32910, 71853, 99685, 266543, 120623, 79945, 73486, 83866, 68646, 169547, 116282, 137523, 114148, 102975, 114709, 82971, 120363, 119217]"
109,"[108160, 110413, 101414, 103639, 112384, 114898, 119217, 110148, 107290, 108052, 99348, 114814, 116282, 99653, 112697, 95016, 106918, 112431, 73486, 68646]"
110,"[113101, 88128, 325537, 110428, 109297, 107626, 107943, 126886, 120616, 414982, 332379, 116756, 117008, 58385, 101669, 73486, 103776, 100114, 105435, 119094]"
111,"[106880, 117320, 116589, 140282, 56931, 120659, 181733, 120657, 93206, 200469, 144715, 15863, 58625, 72251, 79640, 405094, 179074, 211219, 67128, 79781]"
112,"[112431, 120623, 325980, 133093, 107688, 167404, 169547, 32138, 83866, 71853, 107048, 113987, 113161, 114117, 115012, 112697, 113149, 115644, 70016, 115907]"
113,"[114319, 114887, 184791, 112536, 114709, 113189, 112896, 114388, 113101, 76618, 113819, 112499, 116367, 115907, 117110, 75314, 103859, 115685, 112462, 112642]"
114,"[59742, 108238, 97757, 120363, 120915, 119488, 32910, 116483, 108598, 119217, 113749, 126029, 112508, 88763, 110057, 88258, 116778, 120623, 167261, 111667]"
115,"[114746, 117333, 443453, 112346, 113862, 70016, 115759, 115685, 112384, 390521, 110932, 114924, 109831, 477348, 103639, 365748, 117998, 34583, 405422, 364569]"
116,"[120623, 91042, 94721, 364725, 375679, 108399, 365748, 308644, 293715, 95159, 92099, 105112, 80455, 276751, 332452, 99423, 73195, 95895, 145937, 119345]"
117,"[970179, 114709, 112431, 114369, 114814, 112573, 75314, 1568334, 112384, 110857, 109686, 110413, 110912, 110932, 110357, 111503, 106977, 103639, 103064, 99348]"
118,"[35446, 92890, 104348, 90203, 165854, 95270, 33804, 146882, 58576, 110684, 109504, 105226, 108065, 111252, 116913, 82846, 81375, 96257, 64116, 67185]"
119,"[337741, 110116, 28772, 241025, 375063, 35896, 33804, 68528, 364569, 92675, 82031, 43338, 84434, 236784, 81568, 44829, 298203, 310281, 101410, 49833]"
120,"[1130884, 117038, 85346, 86973, 90583, 89087, 83530, 91278, 95382, 170016, 758758, 343660, 82348, 99253, 1176726, 319970, 115783, 430105, 371746, 87298]"
121,"[71853, 112401, 324080, 116367, 90848, 75314, 209144, 61395, 374900, 113552, 120586, 106966, 111454, 106519, 120735, 83658, 111488, 107779, 285823, 98343]"
122,"[112637, 101969, 106226, 107756, 86393, 84707, 101811, 102426, 109508, 104454, 109348, 109771, 108071, 101921, 114117, 5248968, 114272, 118661, 75314, 110857]"
123,"[183505, 114709, 115697, 100140, 112573, 120577, 298148, 290334, 114694, 97458, 333766, 82348, 117918, 404032, 319061, 149691, 405422, 95016, 117802, 177789]"
124,"[84827, 88933, 91064, 73629, 95159, 86197, 93870, 105435, 78346, 103772, 93773, 468569, 75860, 99423, 96874, 99052, 371746, 1375666, 118971, 116629]"
125,"[43014, 56801, 27977, 1190539, 1401143, 110771, 37059, 1166827, 68334, 41959, 13442, 118607, 26752, 120831, 367882, 127536, 1216496, 812243, 120663, 54331]"
126,"[80684, 372183, 83658, 167404, 317705, 198781, 93779, 90605, 78748, 145487, 97576, 84726, 119116, 172495, 119822, 264464, 240772, 76759, 86190, 120815]"
127,"[112896, 117608, 115956, 110391, 110737, 116313, 111667, 99423, 109484, 110167, 116695, 111256, 107630, 111732, 112679, 115885, 109891, 115683, 114496, 116731]"
128,"[110771, 97050, 94631, 257044, 332452, 401792, 114367, 113972, 2779318, 980970, 110428, 114296, 111256, 106677, 106965, 110137, 110305, 107501, 110657, 107943]"
129,"[114814, 110912, 138097, 103064, 102926, 116282, 169547, 34583, 73486, 71562, 119488, 120338, 111161, 68646, 112573, 120815, 119217, 86190, 120586, 109830]"
130,"[114279, 84589, 90357, 37008, 43278, 32976, 780536, 89881, 101640, 96332, 100142, 89087, 91187, 49408, 91278, 68473, 375912, 48140, 146309, 1136608]"
131,"[112864, 114069, 111257, 111503, 99653, 113189, 112697, 114369, 112573, 112384, 112462, 111797, 110116, 110148, 110632, 111507, 111454, 114924, 109040, 109348]"
132,"[113568, 118798, 97814, 361668, 193253, 1190539, 111579, 108065, 390384, 1166827, 94625, 67023, 412019, 119396, 104652, 98258, 812243, 139239, 131325, 21749]"
133,"[66808, 89853, 79367, 297284, 486822, 1063669, 1054486, 1174732, 2884206, 364569, 1242460, 208629, 1700258, 1327773, 319262, 479143, 1227926, 1226774, 974661, 250934]"
134,"[118750, 61811, 366627, 102951, 233142, 478970, 1431045, 100258, 342258, 355702, 95250, 85859, 455960, 89606, 45793, 70016, 40746, 995832, 1706593, 1490017]"
135,"[120586, 110413, 111149, 120735, 108122, 137523, 66921, 338013, 81505, 118715, 180093, 112365, 109340, 1054478, 207275, 53559, 346491, 118163, 469263, 108399]"
136,"[162661, 187393, 113749, 112508, 45810, 110588, 142342, 373889, 102426, 117038, 310793, 60371, 99850, 926084, 315327, 371724, 120586, 120912, 211915, 238380]"
137,"[85382, 63522, 183649, 109707, 104431, 25316, 43014, 38109, 32599, 29947, 50798, 118571, 26752, 41959, 36775, 108399, 112281, 106220, 109831, 114369]"
138,"[418279, 780504, 496806, 162346, 325805, 337978, 80339, 454848, 438488, 1515091, 74958, 413300, 1542344, 478311, 945513, 181865, 53604, 78748, 116695, 450259]"
139,"[395169, 48280, 112461, 102685, 414982, 318462, 117665, 103074, 317248, 146309, 111280, 96895, 88170, 121766, 112682, 112714, 236493, 63522, 316188, 112585]"
140,"[1392190, 113228, 114319, 114576, 112641, 115683, 236493, 115644, 116731, 115759, 381061, 242445, 116130, 118055, 449089, 76759, 1509767, 109444, 110997, 116253]"
141,"[119488, 75314, 215750, 94226, 104257, 113198, 266915, 116282, 91042, 245844, 277434, 172493, 73486, 97441, 73195, 119822, 95953, 78788, 108052, 102926]"
142,"[86879, 61722, 101889, 42332, 77631, 97757, 59742, 45152, 55614, 32910, 84827, 53125, 38650, 98635, 120789, 34583, 33467, 47396, 98258, 66026]"
143,"[48028, 109508, 371724, 364725, 825236, 363771, 365748, 387564, 465551, 43278, 54698, 25316, 356910, 47437, 84370, 50105, 115678, 36613, 379786, 107282]"
144,"[71853, 90605, 66921, 120347, 78748, 99685, 88247, 266543, 81505, 100802, 120591, 80684, 83866, 105236, 75314, 83658, 103772, 119116, 97576, 167404]"
145,"[58331, 112722, 112401, 108162, 103772, 92099, 65421, 145660, 163651, 113243, 120347, 114496, 112571, 120812, 266543, 113501, 110516, 99423, 77631, 116695]"
146,"[97757, 32910, 97815, 325805, 79588, 95705, 29583, 73486, 83929, 315733, 94812, 91217, 107688, 87781, 187078, 113862, 80487, 80339, 71230, 78788]"
147,"[113277, 110148, 111503, 106977, 1049413, 118694, 338751, 63522, 1022603, 94721, 112864, 109686, 109707, 110413, 110932, 780536, 109040, 109444, 111257, 433383]"
148,"[61811, 311113, 110882, 114936, 109001, 48960, 76538, 56801, 116762, 118647, 119080, 382932, 122529, 126344, 30993, 120813, 150230, 120514, 151691, 138987]"
149,"[1190539, 1401143, 319531, 1723811, 107096, 361309, 1166827, 1216496, 812243, 119256, 1441395, 454841, 210717, 206187, 2582496, 421054, 101465, 244479, 256276, 210382]"
150,"[945513, 470752, 1345836, 1515091, 892769, 887883, 446029, 452623, 1285016, 790636, 848228, 1022603, 1318514, 361748, 499549, 382932, 371746, 816692, 1049413, 993846]"
151,"[167404, 95159, 71853, 80684, 82971, 86190, 71562, 75314, 126029, 76759, 138097, 133093, 116282, 117951, 169547, 68646, 34583, 58331, 105236, 99685]"
152,"[114906, 112817, 139809, 429493, 143861, 310910, 1392190, 120461, 82198, 765432, 142688, 79588, 1748122, 293662, 94625, 138704, 398286, 118929, 97493, 1392170]"
153,"[114746, 304141, 203009, 110116, 109731, 128853, 103639, 85334, 48028, 59742, 117802, 93779, 105793, 118655, 190332, 113497, 113228, 113277, 114319, 48280]"
154,"[106977, 113987, 114369, 114814, 110877, 79367, 115734, 75314, 113749, 114666, 98258, 109445, 109707, 113117, 109040, 109348, 110475, 110478, 110771, 111503]"
155,"[266543, 107616, 266697, 265086, 372784, 81398, 61512, 378194, 1375666, 401792, 209144, 468569, 120363, 88258, 120586, 78788, 118114, 105236, 77416, 137523]"
156,"[110912, 110932, 107048, 89017, 167404, 93105, 95705, 887883, 217869, 240772, 211915, 258463, 257044, 266697, 112346, 112641, 114388, 113161, 113627, 114746]"
157,"[486822, 114478, 110428, 114906, 1227926, 421073, 70723, 1498870, 42876, 315733, 258760, 887883, 106519, 2013293, 1125849, 120907, 2562232, 1142800, 469494, 876563]"
158,"[1266029, 880502, 319769, 825236, 177858, 209463, 322420, 233841, 265666, 757361, 330099, 347048, 317842, 82763, 1244668, 87451, 437447, 494222, 367089, 805564]"
159,"[46250, 32976, 38787, 31725, 104348, 105488, 44706, 98635, 97239, 54331, 82089, 71360, 32599, 37008, 50976, 112857, 25878, 117589, 38650, 93822]"
160,"[144214, 96244, 114319, 116731, 115907, 804558, 109306, 107057, 116253, 108515, 115956, 116136, 116683, 116213, 117333, 117918, 31725, 33891, 107131, 116908]"
161,"[167260, 91203, 114117, 110005, 120660, 107497, 100802, 105488, 90605, 78748, 88247, 84726, 119164, 115956, 97576, 258463, 58331, 88763, 116313, 112966]"
162,"[113161, 112431, 114369, 114148, 114814, 87469, 75314, 94226, 104257, 109445, 113117, 104952, 76759, 110413, 110912, 110932, 111161, 108550, 109348, 138097]"
